FIRMA;DIL;Login;WaitTime;WaitCount;CustomMaxAnswered;MEDIATION_DURATION;SAAT
2;2;10;642;10;621;510;4
2;2;10;582;9;621;516;4
2;2;10;598;9;652;505;4
3;1;3;0;0;2;29;4
2;1;7;0;0;2;0;4
2;1;7;0;0;0;0;4
2;2;10;561;9;652;507;4
1;2;7;1082;7;1151;1244;4
1;1;16;0;0;2;0;4
3;2;2;307;2;968;343;4
1;2;7;1629;6;1147;901;4
1;1;16;0;0;2;0;4
2;2;10;567;10;652;651;4
3;2;2;533;1;680;449;4
4;2;2;971;2;1219;842;4
2;2;10;447;9;763;428;3
2;2;10;296;10;464;417;4
3;1;3;0;0;2;0;4
4;1;2;0;0;3;1;4
1;2;7;719;6;794;849;3
1;2;7;773;6;491;752;3
4;2;2;924;2;1219;863;4
2;2;9;526;11;521;659;4
3;2;2;187;2;484;828;4
1;1;16;0;0;2;0;4
3;1;3;0;0;0;0;4
3;2;2;327;2;737;678;4
1;2;7;918;7;978;1540;4
2;2;10;518;8;621;527;4
2;2;10;583;11;521;615;4
4;1;2;0;0;2;1;4
2;2;10;561;10;521;637;4
2;2;10;559;9;521;596;4
1;2;7;862;6;978;1234;4
2;2;10;511;8;521;589;4
2;2;10;501;7;521;409;4
2;2;10;281;8;420;619;4
3;2;2;295;1;737;485;4
2;2;10;376;9;431;509;4
2;2;9;388;10;431;650;4
2;2;10;378;10;431;478;4
4;2;5;648;6;648;1376;3
1;1;16;0;0;0;0;4
1;2;7;766;6;853;1145;3
2;2;10;334;8;420;619;4
3;2;2;293;1;968;289;4
3;1;3;0;0;2;1;4
1;2;7;737;7;794;977;3
1;2;7;620;6;817;1149;3
2;2;9;249;8;464;500;4
2;2;9;215;8;464;519;4
4;2;5;488;5;620;1031;3
2;2;10;205;6;464;363;4
1;1;16;0;0;0;1;4
2;2;10;213;7;464;477;4
4;2;5;456;4;549;1218;3
2;1;7;0;0;2;1;4
2;1;7;0;0;2;0;4
2;2;9;278;10;609;429;4
